Offering,1993-01,1993-02,1993-03,1993-04,1993-05,1993-06,1993-07,1993-08,1993-09,1993-10,1993-11,1993-12,1994-01,1994-02,1994-03,1994-04,1994-05,1994-06,1994-07,1994-08,1994-09,1994-10,1994-11,1994-12,1995-01,1995-02,1995-03,1995-04,1995-05,1995-06,1995-07,1995-08,1995-09,1995-10,1995-11,1995-12,1996-01,1996-02,1996-03,1996-04,1996-05,1996-06,1996-07,1996-08,1996-09,1996-10,1996-11,1996-12,1997-01,1997-02,1997-03,1997-04,1997-05,1997-06,1997-07,1997-08,1997-09,1997-10,1997-11,1997-12,1998-01,1998-02,1998-03,1998-04,1998-05,1998-06,1998-07,1998-08,1998-09,1998-10,1998-11,1998-12,1999-01,1999-02,1999-03,1999-04,1999-05,1999-06,1999-07,1999-08,1999-09,1999-10,1999-11,1999-12,2000-01,2000-02,2000-03,2000-04,2000-05,2000-06,2000-07,2000-08,2000-09,2000-10,2000-11,2000-12,2001-01,2001-02,2001-03,2001-04,2001-05,2001-06,2001-07,2001-08,2001-09,2001-10,2001-11,2001-12,2002-01,2002-02,2002-03,2002-04,2002-05,2002-06,2002-07,2002-08,2002-09,2002-10,2002-11,2002-12,2003-01,2003-02,2003-03,2003-04,2003-05,2003-06,2003-07,2003-08,2003-09,2003-10,2003-11,2003-12,2004-01,2004-02,2004-03,2004-04,2004-05,2004-06,2004-07,2004-08,2004-09,2004-10,2004-11,2004-12,2005-01,2005-02,2005-03,2005-04,2005-05,2005-06,2005-07,2005-08,2005-09,2005-10,2005-11,2005-12,2006-01,2006-02,2006-03,2006-04,2006-05,2006-06,2006-07,2006-08,2006-09,2006-10,2006-11,2006-12,2007-01,2007-02,2007-03,2007-04,2007-05,2007-06,2007-07,2007-08,2007-09,2007-10,2007-11,2007-12,2008-01,2008-02,2008-03,2008-04,2008-05,2008-06,2008-07,2008-08,2008-09,2008-10,2008-11,2008-12,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,2009-07,2009-08,2009-09,2009-10,2009-11,2009-12,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12
aware Growth,0.0001,0.004590252,0.005438147,0.010366079,0.022624891,0.011068393,0.048002721,0.054128635,0.004606038,0.028437601,-0.002370203,0.0,0.029917948,-0.016268115,-0.011743722,0.000428306,-0.004636253,-0.026627684,0.004246387,0.018401353,-0.018835714,0.006287292,-0.031661231,0.01387371,-0.017319123,0.021438577,0.009698651,0.042599663,0.02396683,0.012586749,0.013752322,0.010071356,0.005959006,-0.008077848,0.031280629,0.016822605,0.021723504,0.002443208,-0.003347745,0.023137463,-0.012445226,0.005169988,-0.017617422,0.043274954,0.006620212,0.018425208,0.026522043,0.00553268,0.008596137,0.022107205,-0.016146033,0.010323878,0.045047212,0.039183852,0.020455931,-0.020686954,0.038518424,-0.046908087,0.015601086,0.030883821,0.009754738,0.030262641,0.027164688,0.007569825,-0.002267724,-0.011641785,0.016249794,-0.029710926,0.007072131,0.011478843,0.03799785,0.014704831,0.005611771,0.009651048,0.014047495,0.021455137,-0.028950162,0.01878223,0.020385082,0.001914331,-0.019258132,-0.010913534,0.047677647,0.014348072,-0.019488094,0.010927934,0.029702533,-0.006922996,-0.003178002,0.028407351,0.013443371,0.02455042,-0.022759771,0.006210286,0.006340688,-0.000362097,0.016261781,-0.013538236,-0.014779634,0.019444624,0.018765921,0.008761993,-0.020008101,0.001288979,-0.060452107,0.049924236,0.010710578,0.013434754,-0.011910033,0.003081788,0.005151658,-0.007246727,-0.000378007,-0.022377679,-0.031653995,0.016683699,-0.023720262,0.007356736,0.020171607,-0.004836748,-0.015337313,-0.018397194,0.021757478,0.019860684,0.020161153,0.001769957,0.009590827,0.013270698,-0.00319506,0.017941919,-0.001628623,0.023360091,0.0064202,0.009545039,0.016675598,0.010177664,0.001397272,0.023347659,-0.009709841,0.01399464,0.012706863,0.011596671,0.027524887,0.02794117,0.003294011,0.002613136,0.002636932,-0.008201632,0.022607146,0.023181325,0.019938464,0.005224796,0.032649437,-0.025674283,0.043371932,0.020521099,0.016136793,0.007448181,0.030474323,0.007396275,-0.018307156,0.004113657,-0.01057943,0.01638667,0.011038402,0.023707599,0.003580028,0.026440142,0.012686415,0.023697299,-0.01377378,0.026424525,0.011860985,-0.006553652,-0.015870729,0.011993854,0.023851062,0.015393066,-0.021980743,0.004698205,-0.049279802,-0.000342837,-0.025390994,0.028132992,0.001170609,-0.038928847,-0.026953343,0.03207929,-0.016442779,-0.086546967,-0.015253411,0.005053969,-0.012154703,-0.031940446,0.040545676,0.010658707,0.014601812,0.006158458,0.026208844,0.039777395,0.01797446,-0.010651081,0.011547345,0.018010527,-0.017436872,0.003698518,0.03095286,-0.00484799,-0.029383571,-0.010569819,0.025890845,-0.013992807,0.027966467,0.005175005,0.000719928,0.015372474,0.016447342,0.001351543,0.002453397,0.00888614,-0.010984251,-0.001340129,-0.011345429,-0.029231258,-0.006806596,0.030260044,-0.022524582,0.005311102,0.022072163,0.013422832,0.020259221,9.89-05,-0.017031905,-0.006998069,0.012685497,0.023062951,0.010734701,0.007643834,-0.000482292,0.024522446,0.029043846,0.011130676,0.02168889,0.024777344,-0.01988537,0.043234234,0.008288124,0.022183732,0.014762498,0.01053879,0.013377503,-0.006579486,0.020532613,-0.010728685,0.011464049,0.013485806,-0.000833592,0.011267437,0.010916592,-0.003328036,-0.000132306,0.022582263,0.012047653,0.008078665,0.037789236,0.004400535,0.011756072,0.000561875,-0.020461101,0.020165367,-0.027718703,-0.013260909,0.033392967,-0.001849121,-0.003012935,-0.032958081,-0.002661225,0.016642367,0.019154996,0.023095706,-0.012923662,0.032127269,0.002477682,0.001103806,-0.008622601,0.014827175,0.018848125,0.002286569,0.012065201,0.017858353,0.017489616,0.007642143,2.27-05,0.002189958,0.008637216,0.00913849,0.024595623,0.014232321,0.003472163,0.012512778,-0.002202685,-0.00827855,0.016794033,0.007282884,0.009090728,0.012762831,0.015792594,-0.004075238,-0.030536696,-0.003295807,-0.013437283,0.026810573,0.025222359,0.0102371,0.018767576,-0.006359807,0.023294486,0.016204746,-0.00561243,0.009560346,0.007755051,0.024934419,-0.000705648,0.01980703,-0.029689844,-0.079097872,0.02447104,0.019609935,0.013708571,0.009077313,0.019162834,-0.003156553,0.005326022,0.043161927,0.015052802,0.0049860091063786,0.0030008360110409,0.019528564654498,,,,,,,,,
aware Growth AVG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aware High Growth AVG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aware Diversified Socially Responsible Investment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0081,0.021879405,0.008184054,0.007626576,0.001536512,0.023122998,0.029163442,0.009882716,0.020226082,0.023652398,-0.020437478,0.041771619,0.004389524,0.019681621,0.017413563,0.010437042,0.011767716,-0.006859015,0.019538253,-0.007082334,0.012849981,0.016071538,0.000378858,0.011277452,0.010181485,-0.005157899,0.00199467,0.020415355,0.010583939,0.009520596,0.033706465,0.003814031,0.01116748,-0.00359489,-0.019784328,0.016642126,-0.030239597,-0.01399586,0.032482636,-0.001748517,-2.31-05,-0.029449253,-0.001558303,0.014889243,0.014315591,0.025819985,-0.017678774,0.031323842,-0.002910305,-0.009891751,-0.001875289,0.0139565,0.022596394,-0.000205,0.010739796,0.01028357,0.014388368,0.00992324,-0.00094,0.002167663,0.006184715,0.007075713,0.02074845,0.011068003,0.001667941,0.007799944,-0.001044205,-0.010306032,0.013374054,0.003434077,0.006196893,0.01664201,0.016431337,-0.003128718,-0.031237621,-0.000579,-0.017898063,0.026964815,0.026988042,0.009849616,0.023307804,-0.006301558,0.027738776,0.016510973,-0.007825609,0.009098117,0.003391441,0.019866014,-0.001514156,0.018482639,-0.031738933,-0.071800161,0.027742554,0.018174216,0.009478451,0.009400798,0.015989497,-0.008066738,0.000431,0.037254192,0.00910302,-0.0017294246645371,0.0031762740659153,0.0244612062416818,,,,,,,,,
aware Diversified Socially Responsible Investment AVG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aware Balanced Growth,,,,,,,,,,,,,,,,,,,0.0057,0.017856147,-0.017339332,0.004513656,-0.021823406,0.013430166,-0.010736772,0.019475281,0.010836375,0.037606569,0.02733018,0.012047561,0.008399288,0.011682342,0.008379338,-0.005192684,0.028902556,0.013956806,0.018188818,-0.00127408,-0.002512043,0.020800269,-0.010082098,0.005259423,-0.008141735,0.037734072,0.007563936,0.016919389,0.021719551,0.004642217,0.007323277,0.016082777,-0.013207961,0.009494755,0.03607146,0.034279229,0.01906882,-0.014967957,0.032882754,-0.031335717,0.012023249,0.025044645,0.006941873,0.023273631,0.021255305,0.007919199,0.001836795,-0.007797116,0.013022018,-0.021226305,0.013252122,0.010403505,0.025177441,0.012628074,0.004490573,0.005126315,0.010658447,0.016087123,-0.023887243,0.012467096,0.017274724,0.001786477,-0.012542595,-0.011416552,0.036057339,0.008680031,-0.01407337,0.011451485,0.020985094,-0.002300887,0.00024496,0.020838238,0.011284622,0.017358398,-0.012505464,0.005243248,0.007471236,0.004488906,0.013945845,-0.008848136,-0.007670761,0.012171923,0.015339149,0.008295561,-0.011916298,0.005449011,-0.041718104,0.039470735,0.006569852,0.0084583,-0.007521983,0.003479008,0.002188897,-0.002007039,0.000970511,-0.012515529,-0.020436943,0.015562733,-0.013330518,0.005909151,0.015990712,0.000847804,-0.009266416,-0.010266342,0.015032201,0.016813044,0.019253798,0.001420116,0.003376909,0.008594316,0.001286936,0.012160706,6.52-05,0.019035656,0.006098952,0.008597766,0.013887661,0.00643914,0.001967499,0.017709975,-0.005849862,0.012905599,0.011198061,0.009555138,0.021053432,0.021015047,0.003393726,0.002170489,0.00239604,-0.002929629,0.017916026,0.018778468,0.014365666,0.005614703,0.023644861,-0.018639081,0.032791501,0.016178571,0.012031234,0.00674344,0.022280669,0.004076301,-0.011844662,0.003935471,-0.006625886,0.013843613,0.009922161,0.017261826,0.00472418,0.018903456,0.010023125,0.018556774,-0.009062254,0.019629667,0.008832041,-0.004423234,-0.009654513,0.010422207,0.017097986,0.012585122,-0.013640835,0.003813149,-0.031164537,-0.000617703,-0.0155693,0.020575406,0.001576001,-0.026956041,-0.01712512,0.026893392,-0.011568755,-0.057952265,-0.007279475,0.006571226,-0.007756449,-0.022391068,0.028973388,0.008482389,0.009671642,0.005476453,0.019911373,0.03037815,0.014468136,-0.007998733,0.010178995,0.012335877,-0.010188493,0.003679502,0.022453099,-0.002280254,-0.018605063,-0.00515612,0.019018726,-0.007283183,0.019335227,0.004635669,0.000327588,0.011220048,0.013954423,0.001731171,0.003412938,0.007324418,-0.00555279,0.00044958,-0.006320277,-0.018460964,-0.003025968,0.020971065,-0.013599926,0.00443109,0.01598898,0.010704834,0.015462271,0.001704433,-0.009498924,-0.003369024,0.010738801,0.016501944,0.00909127,0.00657245,0.000338905,0.017945695,0.021246536,0.008995841,0.017730741,0.01712931,-0.015538847,0.03299678,0.006024753,0.016553617,0.012031242,0.006741556,0.010021071,-0.002728647,0.015335301,-0.006212493,0.009395678,0.011634289,0.001676977,0.008605386,0.008968307,-0.002509579,0.002160079,0.016215827,0.010621398,0.008194702,0.026098783,0.00416923,0.007945242,-0.001653955,-0.013639803,0.014904371,-0.015956826,-0.007950906,0.023556924,-0.001623242,-0.000977404,-0.019178284,0.00099544,0.011030016,0.013548606,0.019110672,-0.00648854,0.023821838,0.003497786,0.000512,-0.005865484,0.008523856,0.013519582,0.002653647,0.009124064,0.013268151,0.013170841,0.008446784,0.000523,0.002499911,0.006971178,0.00628237,0.019440382,0.01202463,0.002299658,0.009805123,-0.000415,-0.004561215,0.012593789,0.005729551,0.007164121,0.010035412,0.01215763,-0.002937428,-0.02067307,-0.00150664,-0.008159055,0.020842335,0.019495086,0.010003475,0.014361544,-0.00221564,0.018186798,0.013268475,-0.002932292,0.006585871,0.004704601,0.019649471,-0.002189457,0.01782087,-0.020706743,-0.06089441,0.013223715,0.015142524,0.011967834,0.007274098,0.0097884,-0.002088139,0.002463684,0.027441259,0.010318262,0.0019804825337246,0.0009498946308934552,0.0159635189550471,,,,,,,,,
aware Balanced Growth AVG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aware Cash,0.00049,0.004590252,0.005438147,0.002744952,0.004173778,0.00349384,0.004073384,0.004475423,0.003774582,0.003411057,0.003944339,0.0,0.003708574,0.003082715,0.003887892,0.003505436,0.004015943,0.00336738,0.004774193,0.004727271,0.004833997,0.003969555,0.003983291,0.005444187,0.006132661,0.005663332,0.00571338,0.004850944,0.006895575,0.005267895,0.004648743,0.005937157,0.004639118,0.005617359,0.005127308,0.004571909,0.00593351,0.004611686,0.004884553,0.006411291,0.005611007,0.004665812,0.005821718,0.005479711,0.007015708,0.005585644,0.004718882,0.004936216,0.004496107,0.003816767,0.003964845,0.004770783,0.004677369,0.004639158,0.004299137,0.003486483,0.003096401,0.003456709,0.004703391,0.00375962,0.003068615,0.00322851,0.003979331,0.003686961,0.003364045,0.003899836,0.004191078,0.004405205,0.003079875,0.00334526,0.003321622,0.003733695,0.002985471,0.003369197,0.004017287,0.003607154,0.003372698,0.003809304,0.004241805,0.003916748,0.003832772,0.003303832,0.00409949,0.004084854,0.00422028,0.004312279,0.004853909,0.003873867,0.005193669,0.004654652,0.004721336,0.004449835,0.012016351,-0.002713849,0.004637362,0.005386167,0.005284068,0.00492154,0.004389927,0.004205561,0.003580511,0.003561284,0.003088267,0.005315235,0.012934728,0.003688731,0.002834149,0.005596619,0.003543643,0.002807923,0.002284667,0.003246241,0.00401133,0.005218931,0.005282567,0.003153491,0.004511269,0.00380272,0.003773942,0.003832538,0.004504344,0.003358228,0.002593975,0.003832373,0.003636698,0.00467374,0.001405594,0.002087734,0.003435441,0.003495811,0.001707314,0.004735476,0.003932678,0.0033675,0.005463393,0.003103283,0.004157715,0.004790726,0.003417894,0.004398354,0.004379646,0.003912875,0.004476837,0.003808174,0.003266065,0.002178602,0.003659539,0.005459591,0.003950221,0.0049584,0.003266972,0.004814056,0.003280794,0.003445022,0.005252154,0.004014242,0.004101429,0.003766933,0.00427266,0.002577495,0.003896433,0.004092129,0.002986602,0.004984085,0.004285674,0.00449383,0.004728085,0.004296805,0.004919987,0.004135004,0.004230146,0.004496206,0.004883483,0.004579482,0.003928954,0.004816748,0.004419816,0.005228314,0.004758131,0.004715387,0.005455349,0.004767829,0.005035558,0.005741558,0.005474675,0.005794796,0.00503206,0.005350332,0.004818366,0.006128493,0.004507505,0.003832994,0.003172729,0.002587062,0.00216191,0.002399849,0.001980141,0.002515792,0.002186206,0.002061231,0.002559264,0.002086603,0.002459366,0.00284237,0.002882592,0.002833835,0.003005946,0.002957549,0.002910399,0.003735654,0.003217519,0.00341502,0.003425067,0.003346097,0.003290649,0.003861566,0.00340286,0.00325493,0.003788568,0.003296792,0.00421548,0.003891801,0.003124372,0.003735965,0.00334586,0.003295696,0.003549087,0.003291042,0.003178588,0.003032617,0.003155413,0.003172032,0.003501316,0.002324644,0.002265092,0.00278492,0.002536612,0.002752113,0.002131169,0.002460954,0.002612322,0.002183555,0.004379215,0.002959369,0.001919646,0.002358317,0.002085059,0.001744348,0.002360966,0.001877318,0.001918433,0.002252942,0.001823414,0.001907717,0.002200768,0.00282445,0.002280806,0.00187046,0.002058198,0.001955086,0.002237515,0.001879692,0.002280921,0.002068023,0.002035949,0.001824595,0.001695729,0.001642583,0.001837436,0.00137206,0.001522422,0.00151654,0.00158764,0.001340027,0.001741444,0.001651531,0.001492673,0.001779982,0.001664246,0.002027881,0.001826181,0.001474706,0.001882896,0.001334053,0.001818518,0.001576024,0.001547783,0.00164793,0.001457482,0.001588075,0.001572757,0.001615192,0.001577411,0.001551513,0.001616836,0.001494437,0.001572747,0.001469675,0.001533463,0.001584677,0.001452054,0.001489062,0.001686544,0.001699979,0.001586414,0.001823497,0.001754737,0.001544575,0.001862937,0.001692017,0.001730031,0.001775202,0.001632509,0.001713507,0.001903893,0.001709318,0.001457088,0.001309637,0.001174354,0.001180242,0.001184788,0.000862,0.001086579,0.001073891,0.000966,0.000958,0.000818,0.000601,0.000765,0.000582,0.000498,0.000385,0.00043,0.000377,0.000359,0.00027111464332274515,0.0002449481482931226,0.00035216939608817555,,,,,,,,,
aware Cash AVG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aware Australian Equities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.025,0.0097,0.007853734,0.044163125,0.018466869,0.05191628,-0.009414229,0.047166408,0.017126066,-0.001447339,-0.026394066,0.010903155,0.061482888,0.045861974,-0.051070162,0.001153958,-0.08750335,0.008663499,-0.056409252,0.041433817,0.014819448,-0.062983609,-0.064215244,0.036853896,-0.008958761,-0.163624047,-0.058470489,0.024556692,-0.029361821,-0.029822938,0.099848484,0.011731785,0.023977093,0.036365129,0.039714573,0.075404834,0.051099475,-0.000431313,0.006242353,0.029134896,-0.036277396,0.00781504,0.056830136,-0.01683994,-0.07891339,-0.015289832,0.04610183,-0.026456576,0.067671603,-0.003044044,-0.001831128,0.036689753,0.005853169,0.007152217,-0.001634939,0.02752934,-0.029391881,-0.009566198,-0.015433608,-0.043111384,-0.035876071,0.064806067,-0.048545456,0.003511173,0.039450918,0.01123118,0.021742087,0.001453158,-0.048266366,-0.018370866,0.027096143,0.042637208,0.004868024,0.024613763,-0.001469042,0.041466233,0.046564198,0.031894535,0.0179541,-0.009184461,-0.043029071,0.060405281,0.018907516,0.050409835,0.017277489,-0.008930554,-0.001168393,-0.0161129,0.045839099,-0.006399076,0.027180209,0.002929585,-0.018631694,0.027222432,0.017307655,-0.043088683,0.020216473,-0.000673044,0.013603003,0.011873374,0.068542426,0.003429977,0.00460453,-0.024290091,-0.037483248,0.025234665,-0.048818492,-0.00944573,0.036498279,-0.010608321,0.011011183,-0.050455754,-0.004703708,0.029769858,0.030721152,0.043105329,-0.02439094,0.049737455,-0.006422902,0.005296153,-0.018219561,0.026744797,0.036978725,-0.00681157,0.020910118,0.030373406,0.008677749,-0.021648395,0.001704671,0.000192,0.009209423,0.001885613,0.034217352,0.01803449,0.016109825,-0.003617442,0.005157306,-0.032138393,0.032914744,0.012629543,0.028243535,0.011700448,0.015115131,-0.009918359,-0.055065474,-0.016309056,0.001649778,0.032871534,0.05480249,0.008374504,0.021878153,0.017828397,0.032359096,0.026681396,-0.017928541,0.018014863,-0.003213609,0.029579119,-0.015877447,0.043385968,-0.067608877,-0.182088404,0.077459095,0.039935407,0.022720557,0.005336685,0.028851677,-0.031253468,0.019246751,0.088813212,0.012808894,0.0031172604624185,0.0146548640073809,0.0223790552517479,,,,,,,,,
aware Australian Equities AVG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aware Australian Equities Socially Responsible Investment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0214,0.019944222,0.043741515,0.081053968,0.049295156,0.015051013,0.004065254,0.025477681,-0.035069863,0.010680711,0.055222105,-0.019859645,-0.076353539,-0.035446871,0.059036767,-0.036892677,0.072531165,-0.006896796,-0.004562612,0.036588211,0.003916147,-0.003999353,0.005127187,0.020919993,-0.028029161,-0.009051247,-0.023461081,-0.044421383,-0.037005885,0.068589588,-0.056286146,0.001804923,0.048494606,0.001270598,0.018692578,0.009300448,-0.058210935,-0.010626831,0.035008378,0.045382721,0.003642204,0.023037177,0.000538826,0.043634985,0.050967612,0.019265672,0.019823372,-0.009177788,-0.037715209,0.060641246,0.008310917,0.046315247,0.018775838,-0.002282789,-0.002579037,-0.016358373,0.033092374,-0.002374401,0.026920932,0.006331895,-0.014395928,0.026467873,0.016344786,-0.039020353,0.020394033,0.003411867,0.012921745,0.015076341,0.063483545,0.010873582,-0.000211882,-0.029362422,-0.034525389,0.033768516,-0.047395571,-0.015068036,0.032384231,-0.000353543,0.019117012,-0.05238937,-0.014389141,0.02086365,0.02421758,0.026835049,-0.031021275,0.044849215,-0.010721115,-0.003724935,-0.02200207,0.024659929,0.034952405,-0.010322224,0.020596509,0.019677401,0.011936683,-0.018080062,0.005737541,-0.003923317,-0.001366555,0.003402658,0.030328133,0.01746381,0.008301558,-0.004916888,0.014841748,-0.033173908,0.025451422,0.009460756,0.01998493,0.006376929,0.020238178,-0.014827759,-0.054568004,-0.010979092,-0.011289788,0.032752328,0.053893471,0.014929444,0.025282853,0.022396438,0.032388755,0.033486025,-0.018034694,0.01225226,-0.002449004,0.024510551,-0.018667636,0.044917792,-0.0622947,-0.179130923,0.066961767,0.036228114,0.021891506,0.011562071,0.026723728,-0.037485558,0.016961191,0.077465393,0.009878686,-0.0040601563965164,0.0038164660260893,0.0361908776663013,,,,,,,,,
aware Australian Equities Socially Responsible Investment AVG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
